"filename", "language", "Markdown", "YAML", "CMake", "C++", "Batch", "Dart", "Shell Script", "Ruby", "Swift", "XML", "JSON", "comment", "blank", "total"
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/update.bat", "Batch", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 10, 40
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/DESIGN-INDEX.md", "Markdown", 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 303
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/Requirements.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-architecture.md", "Markdown", 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 370
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-code-cleaner.md", "Markdown", 536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 96, 638
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-encoding.md", "Markdown", 605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 724
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-file-scanner.md", "Markdown", 492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 595
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-ui.md", "Markdown", 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 554
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-update.md", "Markdown", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 184
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-word-exporter.md", "Markdown", 765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 912
"Total", "-", 3660, 100, 241, 442, 30, 3153, 19, 32, 40, 343, 68, 163, 1311, 9602
